,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
59,601398.XSHG,601398,工商银行,XSHG,2007/8/23,6.92,6.92,6.95,7.13,6.91,6.95,277393408,1943907200,,0.0302,0.590025425,63806421000,2.32E+12,0.0043,,28.4183,4.6557,1,
60,601398.XSHG,601398,工商银行,XSHG,2007/8/24,6.95,6.95,7.06,7.14,6.89,6.99,369236192,2591885310,,0.0402,0.590025425,64173652200,2.33E+12,0.0058,,28.5818,4.6825,1,
61,601398.XSHG,601398,工商银行,XSHG,2007/8/27,6.99,6.99,7.01,7.15,6.92,7.06,337545536,2377335040,,0.0368,0.590025425,64816306800,2.36E+12,0.01,,28.868,4.7294,1,
62,601398.XSHG,601398,工商银行,XSHG,2007/8/28,7.06,7.06,7,7,6.74,6.89,348529184,2384157700,,0.038,0.590025425,63255574200,2.30E+12,-0.0241,,28.1729,4.6155,1,
63,601398.XSHG,601398,工商银行,XSHG,2007/8/29,6.89,6.89,6.79,6.94,6.65,6.71,252771488,1712499330,,0.0275,0.590025425,61603033800,2.24E+12,-0.0261,,27.4369,4.495,1,
64,601398.XSHG,601398,工商银行,XSHG,2007/8/30,6.71,6.71,6.85,6.89,6.73,6.8,159731952,1085607040,,0.0174,0.590025425,62429304000,2.27E+12,0.0134,,27.8049,4.5552,1,
65,601398.XSHG,601398,工商银行,XSHG,2007/8/31,6.8,6.8,6.9,6.9,6.77,6.84,216482496,1476602500,,0.0236,0.590025425,62796535200,2.28E+12,0.0059,,27.9685,4.582,1,
66,601398.XSHG,601398,工商银行,XSHG,2007/9/3,6.84,6.84,6.87,7.03,6.8,6.91,331735776,2292213760,,0.0361,0.590025425,63439189800,2.31E+12,0.0102,,28.2547,4.6289,1,
67,601398.XSHG,601398,工商银行,XSHG,2007/9/4,6.91,6.91,6.91,6.93,6.74,6.87,323659680,2207506940,,0.0353,0.590025425,63071958600,2.29E+12,-0.0058,,28.0911,4.6021,1,
68,601398.XSHG,601398,工商银行,XSHG,2007/9/5,6.87,6.87,6.87,6.95,6.73,6.8,238484736,1622967300,,0.026,0.590025425,62429304000,2.27E+12,-0.0102,,27.8049,4.5552,1,
69,601398.XSHG,601398,工商银行,XSHG,2007/9/6,6.8,6.8,6.85,6.95,6.75,6.95,331928320,2279581950,,0.0362,0.590025425,63806421000,2.32E+12,0.0221,,28.4183,4.6557,1,
70,601398.XSHG,601398,工商银行,XSHG,2007/9/7,6.95,6.95,7,7.12,6.79,6.81,428138592,2970719740,,0.0466,0.590025425,62521111800,2.27E+12,-0.0201,,27.8458,4.5619,1,
71,601398.XSHG,601398,工商银行,XSHG,2007/9/10,6.81,6.81,6.7,6.81,6.6,6.8,300633760,2009657980,,0.0327,0.590025425,62429304000,2.27E+12,-0.0015,,27.8049,4.5552,1,
72,601398.XSHG,601398,工商银行,XSHG,2007/9/11,6.8,6.8,6.76,6.86,6.39,6.42,338830592,2246866690,,0.0369,0.590025425,58940607600,2.14E+12,-0.0559,,26.2511,4.3007,1,
73,601398.XSHG,601398,工商银行,XSHG,2007/9/12,6.42,6.42,6.4,6.5,6.25,6.39,241820672,1534576510,,0.0263,0.590025425,58665184200,2.13E+12,-0.0047,,26.1284,4.2806,1,
74,601398.XSHG,601398,工商银行,XSHG,2007/9/13,6.39,6.39,6.41,6.59,6.41,6.46,237531632,1543528060,,0.0259,0.590025425,59307838800,2.16E+12,0.011,,26.4147,4.3275,1,
75,601398.XSHG,601398,工商银行,XSHG,2007/9/14,6.46,6.46,6.5,6.54,6.38,6.49,165063216,1060872130,,0.018,0.590025425,59583262200,2.17E+12,0.0046,,26.5373,4.3476,1,
76,601398.XSHG,601398,工商银行,XSHG,2007/9/17,6.49,6.49,6.49,6.64,6.47,6.54,203160160,1326330110,,0.0221,0.590025425,60042301200,2.18E+12,0.0077,,26.7418,4.3811,1,
77,601398.XSHG,601398,工商银行,XSHG,2007/9/18,6.54,6.54,6.54,6.59,6.37,6.53,194579648,1253424130,,0.0212,0.590025425,59950493400,2.18E+12,-0.0015,,26.7009,4.3744,1,
78,601398.XSHG,601398,工商银行,XSHG,2007/9/19,6.53,6.53,6.55,6.64,6.43,6.48,160071472,1042742460,,0.0174,0.590025425,59491454400,2.16E+12,-0.0077,,26.4965,4.3409,1,
79,601398.XSHG,601398,工商银行,XSHG,2007/9/20,6.48,6.48,6.55,6.65,6.48,6.58,230036768,1510569340,,0.0251,0.590025425,60409532400,2.20E+12,0.0154,,26.9053,4.4079,1,
80,601398.XSHG,601398,工商银行,XSHG,2007/9/21,6.58,6.58,6.6,6.74,6.59,6.69,255638736,1702592640,,0.0278,0.590025425,61419418200,2.23E+12,0.0167,,27.3551,4.4816,1,
81,601398.XSHG,601398,工商银行,XSHG,2007/9/24,6.69,6.69,6.72,6.76,6.63,6.69,182333920,1217889280,,0.0199,0.590025425,61419418200,2.23E+12,0,,27.3551,4.4816,1,
82,601398.XSHG,601398,工商银行,XSHG,2007/9/25,6.69,6.69,6.73,6.76,6.39,6.49,191207296,1250966530,,0.0208,0.590025425,59583262200,2.17E+12,-0.0299,,26.5373,4.3476,1,
83,601398.XSHG,601398,工商银行,XSHG,2007/9/26,6.49,6.49,6.5,6.55,6.34,6.37,145507200,931875140,,0.0158,0.590025425,58481568600,2.13E+12,-0.0185,,26.0467,4.2672,1,
84,601398.XSHG,601398,工商银行,XSHG,2007/9/27,6.37,6.37,6.35,6.59,6.31,6.58,148383008,960091840,,0.0162,0.590025425,60409532400,2.20E+12,0.033,,26.9053,4.4079,1,
85,601398.XSHG,601398,工商银行,XSHG,2007/9/28,6.58,6.58,6.63,6.7,6.58,6.61,190864368,1265607170,,0.0208,0.590025425,60684955800,2.21E+12,0.0046,,27.028,4.428,1,
86,601398.XSHG,601398,工商银行,XSHG,2007/10/8,6.61,6.61,6.91,7.27,6.81,7.27,975824830,6944585200,,0.1063,0.590025425,66744270600,2.43E+12,0.0998,,28.7683,4.6613,1,
87,601398.XSHG,601398,工商银行,XSHG,2007/10/9,7.27,7.27,7.3,7.51,7.22,7.29,596085820,4404076500,,0.0649,0.590025425,66927886200,2.43E+12,0.0028,,28.8475,4.6741,1,
88,601398.XSHG,601398,工商银行,XSHG,2007/10/10,7.29,7.29,7.32,7.87,7.32,7.59,524572608,4000683260,,0.0571,0.590025425,69682120200,2.54E+12,0.0412,,30.0346,4.8664,1,
89,601398.XSHG,601398,工商银行,XSHG,2007/10/11,7.59,7.59,7.75,8.02,7.66,7.79,350476768,2733912060,,0.0382,0.590025425,71518276200,2.60E+12,0.0264,,30.8261,4.9947,1,
90,601398.XSHG,601398,工商银行,XSHG,2007/10/12,7.79,7.79,7.8,7.86,7.34,7.65,332506176,2518738430,,0.0362,0.590025425,70232967000,2.56E+12,-0.018,,30.2721,4.9049,1,
91,601398.XSHG,601398,工商银行,XSHG,2007/10/15,7.65,7.65,7.65,7.93,7.46,7.86,276746624,2129624190,,0.0301,0.590025425,72160930800,2.63E+12,0.0275,,31.1031,5.0395,1,
92,601398.XSHG,601398,工商银行,XSHG,2007/10/16,7.86,7.86,7.91,8.45,7.86,8.15,414132352,3393959940,,0.0451,0.590025425,74823357000,2.72E+12,0.0369,,32.2506,5.2255,1,
93,601398.XSHG,601398,工商银行,XSHG,2007/10/17,8.15,8.15,8.03,8.09,7.86,7.96,186023264,1475587710,,0.0203,0.590025425,73079008800,2.66E+12,-0.0233,,31.4988,5.1037,1,
94,601398.XSHG,601398,工商银行,XSHG,2007/10/18,7.96,7.96,7.91,8.03,7.59,7.64,229315216,1779060100,,0.025,0.590025425,70141159200,2.55E+12,-0.0402,,30.2325,4.8985,1,
95,601398.XSHG,601398,工商银行,XSHG,2007/10/19,7.64,7.64,7.71,7.8,7.58,7.61,163860464,1258774020,,0.0178,0.590025425,69865735800,2.54E+12,-0.0039,,30.1138,4.8792,1,
96,601398.XSHG,601398,工商银行,XSHG,2007/10/22,7.61,7.61,7.49,7.7,7.31,7.45,129533264,969170940,,0.0141,0.590025425,68396811000,2.49E+12,-0.021,,29.4806,4.7767,1,
97,601398.XSHG,601398,工商银行,XSHG,2007/10/23,7.45,7.45,7.41,7.91,7.41,7.86,234203696,1801092350,,0.0255,0.590025425,72160930800,2.63E+12,0.055,,31.1031,5.0395,1,
98,601398.XSHG,601398,工商银行,XSHG,2007/10/24,7.86,7.86,7.91,8.18,7.87,7.95,262515040,2109289730,,0.0286,0.590025425,72987201000,2.66E+12,0.0115,,31.4592,5.0972,1,
99,601398.XSHG,601398,工商银行,XSHG,2007/10/25,7.95,7.95,7.85,8.04,7.46,7.62,252115936,1962686210,,0.0275,0.590025425,69957543600,2.55E+12,-0.0415,,30.1533,4.8857,1,
100,601398.XSHG,601398,工商银行,XSHG,2007/10/26,7.62,7.62,0,0,0,7.62,0,0,0,0,0.590025425,69957543600,2.55E+12,0,,30.1533,4.8857,0,
101,601398.XSHG,601398,工商银行,XSHG,2007/10/29,7.62,7.62,8.01,8.35,7.98,8.17,303866560,2484625660,,0.0252,0.590025425,98574236300,2.73E+12,0.0722,,32.3298,5.2383,1,
102,601398.XSHG,601398,工商银行,XSHG,2007/10/30,8.17,8.17,8.25,8.77,8.06,8.73,332667872,2824856580,,0.0276,0.590025425,1.05E+11,2.92E+12,0.0685,,34.5458,5.5974,1,
103,601398.XSHG,601398,工商银行,XSHG,2007/10/31,8.73,8.73,8.88,8.89,8.58,8.74,296567904,2587239420,,0.0246,0.590025425,1.05E+11,2.92E+12,0.0011,,34.5853,5.6038,1,
104,601398.XSHG,601398,工商银行,XSHG,2007/11/1,8.74,8.74,8.73,9,8.6,8.84,256415440,2269256700,,0.0213,0.590025425,1.07E+11,2.95E+12,0.0114,,34.981,5.6679,1,
105,601398.XSHG,601398,工商银行,XSHG,2007/11/2,8.84,8.84,8.68,8.86,8.55,8.65,257433616,2229500160,,0.0213,0.590025425,1.04E+11,2.89E+12,-0.0215,,34.2292,5.5461,1,
106,601398.XSHG,601398,工商银行,XSHG,2007/11/5,8.65,8.65,8.59,8.7,8.26,8.29,197734656,1668156290,,0.0164,0.590025425,1.00E+11,2.77E+12,-0.0416,,32.8046,5.3152,1,
107,601398.XSHG,601398,工商银行,XSHG,2007/11/6,8.29,8.29,8.25,8.35,8.12,8.16,195897312,1604561920,,0.0162,0.590025425,98453582400,2.73E+12,-0.0157,,32.2902,5.2319,1,
108,601398.XSHG,601398,工商银行,XSHG,2007/11/7,8.16,8.16,8.2,8.56,8.16,8.55,212564016,1766566020,,0.0176,0.590025425,1.03E+11,2.86E+12,0.0478,,33.8335,5.4819,1,
109,601398.XSHG,601398,工商银行,XSHG,2007/11/8,8.55,8.55,8.41,8.49,8.24,8.26,235440832,1962452220,,0.0195,0.590025425,99660121400,2.76E+12,-0.0339,,32.6859,5.296,1,
110,601398.XSHG,601398,工商银行,XSHG,2007/11/9,8.26,8.26,8.1,8.5,8.08,8.35,213383696,1775109760,,0.0177,0.590025425,1.01E+11,2.79E+12,0.0109,,33.042,5.3537,1,
